	Title	Location
145	Senior Data Scientist	Toronto, ON
146	Data Scientist, Shopping	Toronto, ON
147	Machine Learning Engineer (Tensor Flow , PyTorch)	Canada
148	Associate Machine Learning Scientist	Calgary, AB
149	Analyst Data Science	Winnipeg, MB
150	Chief Data Scientist	Toronto, ON
151	Sr. Research Scientist, Evidence Synthesis (Remote)	Vancouver, BC
152	Senior Data Scientist	Greater Toronto Area, Canada
153	Data Scientist II - R-37837	Toronto, Ontario, Canada
154	Data Scientist	Vancouver, BC
155	Data Analyst (Remote - Canada)	Montreal, QC
156	Imaging Researcher	Montreal, QC
157	Machine Learning Engineer	Montreal, QC
158	Data Scientist – Revenue management	Montreal, QC
159	Data Scientist	Toronto, ON
160	Machine Learning Engineer	Vancouver, BC
161	Data Scientist	Toronto, ON
162	Machine Learning Engineer	Toronto, ON
163	AI Data Scientist	Greater Toronto Area, Canada
164	Data Science Principal	Montreal, QC
165	Data Science Manager	Vancouver, BC
166	Senior Data Scientist (Canada)	Montreal, QC
167	Machine Learning Researcher/Engineer	Toronto, ON
168	Head of Data Scientist	Vancouver, BC
169	Data Scientist	Regina, Saskatchewan, Canada
170	Junior Data Scientist	Toronto, Ontario, Canada
171	Data & Statistical Analyst	Vancouver, BC
172	Senior Data Scientist	Halifax, NS
173	Analyst, Data Analytics	London, ON
174	Data Scientist	Langley, BC
175	Senior Data Scientist	Toronto, ON
176	Senior Data Scientist	Toronto, ON
177	Sr. Principal, Data Science And Machine Learning Development	Québec, QC
178	Senior Data Scientist	Canada
179	Senior Machine Learning Scientist	Toronto, ON
180	Associate Data Scientist	Vaughan, Ontario, Canada
181	Senior Data Scientist [Remote]	Toronto, ON
182	Senior Data Scientist	Toronto, ON
183	Sr. Data Scientist	British Columbia, Canada
184	Lead Data Scientist	Toronto, ON
185	Senior Data Scientist	Toronto, ON
186	Data Scientist Lead	Toronto, ON
187	Quantitative Researcher	Toronto, ON
188	Data Scientist	Vancouver, BC
189	Senior Machine Learning Engineer - Perception/ Autonomous Vehicles	Vancouver, BC
